Timestamp,Sex,Age,"Grade, Strand & Section",ESPORTS COMMUNITY TOURNAMENTS,BARANGAY TOURNAMENTS,REGIONAL TOURNAMENTS ,SCHOOL/UNIVERSITY TOURNAMENTS,PROFESSIONAL TOURNAMENTS,INTERNATIONAL TOURNAMENTS,Esports promotes a sense of community among players who have similar interests like me.,Esports allows me to connect more with others.,"Esports helps me to gain notoriety or popularity in online spaces (YouTube, Twitch, TikTok, Facebook, etc.).",Esports allows me to meet new people and form new friendships.,Esports participation helps me train my mind to minimize mental fatigue,Esports offers a place to unwind and distract myself away from stress.,Esports helps me to stick to a healthy and regular sleeping routine.,Esports helps me in developing my leadership skills.,Esports helps me develop my patience.,Esports helps me strengthen my problem-solving skills.,Esports accelerates my ability to study and comprehend new skills.,Esports improves my mental capacity for pattern recognition.,Esports drives my motivation to set and achieve my primary goals.,Esports helps me form an identity for myself.,"Esports assists me in developing positive habits (example: time management, sleeping at the right time, etc.).","Esports drives me to master, train, and upgrade my skills in the game",Esports participation helps me improve my hand-eye coordination,Esports has given me an opportunity to acquire scholarships or financial aid from organizations (Like AcaArena and others).,"Esports has given me the chance to work in content creation (For example: Facebook gaming, YouTube, TikTok, etc.)","Esports has provided me with jobs (for example: programming, beta testing, editing, etc.)","Esports participation has led me to work as an Esports staff (for example: coach, assistant coach, manager, analyst, etc.).",Esports inspires me to start a career as a game commentator and analyst.,Esports leads me or inspires me to work as an Esports athlete for a professional team.
4/5/2023 20:03:13,Male,17,ICT 11-01,1,1,1,3,1,1,3,3,2,3,3,3,2,2,3,1,3,3,3,2,1,3,3,1,2,2,2,3,1
4/5/2023 20:06:11,Female,16,ICT 11-01,4,1,1,3,1,1,4,3,3,4,4,3,3,1,2,4,4,3,3,4,4,4,4,4,3,3,2,2,3
4/5/2023 20:07:54,Male,18,Stem 12-02,4,1,1,3,1,1,4,4,3,3,4,4,2,3,4,4,4,4,4,4,2,4,4,3,3,3,1,2,2
4/5/2023 20:09:29,Male,18,Stem 12-02,3,2,1,2,1,1,4,4,2,3,3,3,2,3,3,3,2,3,2,3,3,4,3,2,2,2,2,3,3
4/5/2023 20:18:32,Male,17,NA,3,2,2,2,2,2,1,2,4,4,4,4,3,2,2,3,2,4,3,2,3,4,3,1,3,4,3,2,1
4/5/2023 20:16:50,Male,17,Stem 11-10,4,4,4,4,1,1,4,4,3,4,3,4,2,3,3,4,3,3,3,3,3,2,4,3,2,2,2,2,3
4/5/2023 20:18:20,Female,17,Stem 11-01,3,3,2,3,2,1,3,4,2,4,4,3,3,4,3,3,3,3,3,3,4,3,4,3,4,2,2,3,3
4/5/2023 20:35:59,Male,17,ICT 12-02,2,1,1,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,1,1,1,4
4/5/2023 20:39:23,Male,19,ICT 12-02,4,3,1,4,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4/5/2023 20:41:50,Male,18,ICT 12-02,4,4,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4/5/2023 20:45:57,Male,18,ICT 12-02,3,3,2,3,1,1,3,3,3,3,3,2,3,3,3,4,3,3,4,4,3,4,3,4,2,2,4,3,3
4/5/2023 20:47:52,Male,18,ICT 12-02,3,3,3,2,2,1,4,4,4,4,4,4,2,4,4,4,4,4,4,3,3,4,4,2,2,1,1,1,2
4/5/2023 20:53:20,Male,19,ICT 12-02,4,4,2,2,4,4,4,4,3,4,4,4,1,4,1,3,2,2,3,4,3,3,4,3,2,3,4,3,3
4/5/2023 21:00:39,Male,18,HUMSS 12-01,3,1,1,1,4,4,4,4,4,4,4,4,2,3,4,4,4,1,3,3,1,4,4,1,1,1,2,2,4
4/5/2023 21:02:31,Male,17,HUMSS 12-01,3,3,1,1,1,1,4,4,3,4,2,3,1,2,1,4,4,4,3,4,2,2,2,1,1,1,1,2,2
4/5/2023 21:06:49,Male,17,HUMSS 12-02,4,2,1,4,1,2,4,4,4,4,3,4,2,4,2,3,3,4,3,3,2,4,4,3,4,1,2,3,4
4/5/2023 21:12:24,Male,17,HUMSS 12-01,4,2,1,2,1,1,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4/5/2023 21:15:14,Male,19,HUMSS 12-01,3,1,4,3,4,3,4,4,4,4,3,4,2,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/2023 14:15:56,Female,17,HUMSS 12-01,2,1,1,1,1,1,4,4,3,4,3,4,3,2,3,2,3,3,3,2,3,3,3,3,3,3,2,3,3
4/6/2023 14:18:14,Male,17,ICT 12-02,4,1,3,1,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4
4/6/2023 14:23:28,Male,19,ICT 12-01,3,4,1,3,1,1,4,3,4,3,4,4,2,4,4,3,3,3,4,3,3,4,3,2,3,3,2,2,1
4/6/2023 14:25:09,Male,17,ICT 11-03,3,3,2,3,2,1,3,3,3,3,4,4,2,3,3,3,3,3,4,4,3,3,3,3,2,2,1,3,3
4/6/2023 14:40:40,Male,18,ICT 11-03,2,1,2,2,1,1,4,4,4,4,3,3,2,4,3,4,4,4,4,3,2,4,4,4,4,4,3,3,3
4/6/2023 16:00:59,Male,18,ICT 11-03,3,3,3,3,1,1,3,2,3,3,3,2,3,3,3,2,3,3,2,3,3,2,2,3,2,3,2,3,2
4/6/2023 16:32:36,Female,17,ICT 11-03,4,3,3,1,1,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4
4/12/2023 13:51:23,Male,16,Stem 11-01,1,1,1,3,1,1,3,3,2,4,1,2,1,1,4,2,1,3,2,1,1,4,3,1,1,1,1,1,1
4/12/2023 13:56:13,Female,17,Stem 11-01,2,2,2,2,2,2,3,3,3,3,2,3,2,2,2,2,2,2,2,2,3,3,2,2,2,3,1,3,2
4/12/2023 13:57:40,Female,16,Stem 11-01,3,2,2,2,1,1,3,4,3,4,4,4,3,3,3,3,3,3,4,4,3,3,3,2,2,2,3,3,3
4/12/2023 13:58:54,Male,16,Stem11-01,1,1,1,4,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4/12/2023 14:00:54,Male,17,Stem11-01,4,1,1,4,1,1,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3
4/12/2023 14:02:41,Female,17,Ad 12-02,3,3,2,1,1,1,3,4,3,4,2,1,1,1,2,3,1,1,1,3,1,4,4,1,2,2,1,2,3
4/12/2023 14:04:02,Male,19,Ad 12-02,4,2,2,3,1,1,4,4,4,4,4,4,2,3,4,3,3,3,3,4,2,3,3,2,4,2,1,2,4
4/12/2023 14:05:50,Female,19,AD12-02,4,1,1,2,2,3,4,4,4,4,4,4,2,3,1,3,4,4,4,3,1,4,4,3,4,2,2,2,2
4/12/2023 14:07:32,Female,16,abm 11-01,2,2,2,2,1,1,4,4,3,4,3,4,2,3,2,3,3,3,3,4,3,4,4,4,2,2,2,2,2
4/12/2023 14:08:41,Male,17,Abm 11-01,1,1,1,3,1,1,4,4,3,4,4,4,2,2,4,4,4,3,3,2,4,4,4,2,2,3,2,4,3
4/12/2023 14:10:10,Female,18,Abm 11-01,2,1,1,1,1,1,4,2,3,3,4,4,2,3,2,4,4,4,4,4,4,4,4,4,4,4,1,1,1
4/12/2023 14:12:28,Male,16,Abm 11-01,4,4,1,3,1,1,1,4,4,4,4,4,4,3,3,3,4,4,4,4,4,3,4,4,3,3,2,2,3
4/12/2023 14:14:15,Female,18,Abm11-01,2,2,2,3,2,2,3,4,4,4,4,4,3,3,3,4,4,3,3,3,2,3,4,2,4,4,4,3,3
4/12/2023 14:15:31,Male,17,Abm11-01,2,2,1,4,1,1,4,4,2,3,4,4,1,2,3,3,4,4,4,4,2,4,4,1,2,1,1,2,3
4/12/2023 14:16:47,Male,18,Humss 12-02,3,3,1,2,1,1,4,4,4,4,3,3,2,4,3,3,3,3,3,3,2,4,3,2,2,2,2,2,2
4/12/2023 14:18:52,Male,20,Humss 12-02,2,3,3,3,1,1,4,2,1,3,4,3,2,3,4,4,4,3,3,3,2,4,4,2,1,3,1,4,4
4/12/2023 14:20:19,Male,18,Humss 12-02,2,2,1,3,1,1,4,4,2,4,2,3,2,4,2,4,4,3,3,2,2,4,4,1,2,1,2,3,2
4/12/2023 14:21:47,Female,18,Humms 12-02,2,2,1,1,1,1,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,2,2,4
4/12/2023 14:23:05,Male,17,Stem 11-12,1,1,1,3,1,1,4,4,3,4,3,2,2,4,4,4,3,3,3,3,2,4,4,3,2,2,4,3,3
4/12/2023 14:26:24,Female,16,Stem 11-12,3,2,2,3,1,1,4,4,3,4,4,4,4,4,4,4,4,4,3,4,3,2,3,4,2,3,1,1,4
4/18/2023 14:08:20,Male,18,Stem 12-02,3,1,1,3,2,1,3,3,2,4,3,4,2,3,3,4,4,4,3,2,3,4,4,2,2,2,3,3,3
4/18/2023 14:10:30,Male,17,Stem 12-05,3,2,3,4,2,1,3,3,3,2,2,2,2,2,1,2,3,3,3,3,1,3,3,3,2,1,3,3,2
4/18/2023 14:13:11,Female,17,Stem 12-05,3,3,4,4,2,2,4,4,4,4,4,4,2,3,4,4,4,3,4,3,3,3,4,4,4,4,3,4,3
4/18/2023 14:15:32,Male,17,Stem 12-03,3,4,2,3,2,2,4,4,4,4,4,4,3,4,2,3,3,3,4,4,4,4,4,3,2,2,1,4,3
4/18/2023 14:19:30,Male,16,ICT 11-02,3,2,1,1,1,4,3,4,1,4,2,4,2,3,2,4,4,3,3,3,4,4,2,1,1,2,1,1,3
4/18/2023 14:24:47,Female,17,ICT11-02,3,2,1,3,2,2,4,4,3,4,4,4,2,4,3,4,4,4,3,4,2,4,4,4,2,3,2,3,4
4/18/2023 14:30:03,Male,17,ICT 11-02,3,4,1,2,2,1,3,4,3,4,2,3,1,3,4,3,3,4,4,4,2,4,4,3,2,2,2,3,4
4/18/2023 14:31:39,Female,17,STEM 11-01,4,4,1,4,1,1,4,4,2,3,3,4,2,3,2,2,4,2,2,3,1,3,2,1,1,1,2,2,1
4/21/2023 16:41:57,Female,17,STEM 12-02,3,2,2,4,2,2,4,4,3,4,3,4,2,4,4,3,4,3,4,4,3,4,4,3,4,2,2,3,4
4/21/2023 16:43:39,Male,18,STEM 12-02,3,2,1,3,1,1,3,3,3,4,4,4,2,3,4,3,3,3,4,3,2,4,3,2,2,2,2,2,2
4/21/2023 16:46:53,Female,18,STEM12-02,3,3,3,4,3,3,4,4,4,4,2,4,2,3,4,4,3,3,2,2,2,4,4,4,4,4,4,4,4
4/21/2023 16:49:28,Male,18,STEM 12-02,1,2,1,1,1,1,4,4,4,4,4,4,1,4,3,4,4,3,4,4,2,4,4,2,2,2,3,1,4
4/21/2023 16:52:11,Male,18,STEM 12-02,2,1,1,4,1,1,4,4,3,4,3,3,1,3,1,3,3,3,3,3,2,3,4,1,3,3,3,1,3
4/21/2023 16:54:25,Female,16,STEM 11-01,1,2,1,3,1,1,3,4,3,4,4,4,4,4,4,3,3,4,4,4,3,3,3,3,3,3,4,2,4
4/21/2023 16:56:25,Female,16,STEM 11-01,2,1,1,1,1,1,3,4,3,4,3,4,2,3,3,2,3,3,3,3,3,4,4,2,2,2,2,1,2
4/21/2023 17:00:05,Male,18,STEM 12-02,2,2,1,3,3,1,4,4,4,4,2,3,2,3,3,4,2,4,4,3,3,4,4,1,3,1,1,2,4
4/21/2023 17:03:38,Male,18,STEM 12-05,2,2,3,4,1,1,4,4,3,4,3,4,2,4,1,4,4,4,4,4,4,4,4,3,2,2,2,3,2
4/21/2023 17:05:34,Male,18,STEM 12-02,4,3,1,3,1,1,4,4,4,4,4,4,2,4,4,4,4,4,4,3,4,4,4,2,2,4,2,1,4
4/21/2023 17:07:04,Male,18,STEM 12-05,2,1,2,1,1,1,3,3,2,4,4,4,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3
4/21/2023 17:08:42,Male,19,STEM 12-05,2,1,1,1,1,1,4,4,4,4,3,2,3,3,2,4,3,3,3,3,2,4,4,3,3,3,2,3,3
4/21/2023 18:50:57,Male,17,STEM 12-06,2,2,1,2,2,1,3,3,3,4,2,2,4,2,3,3,3,3,4,4,4,4,2,2,1,3,1,4,3
4/21/2023 19:29:22,Female,18,STEM 12-06,2,2,2,2,2,1,3,3,2,3,3,2,2,3,3,4,4,3,3,4,2,4,4,2,4,4,3,4,4
4/21/2023 19:30:22,Male,17,STEM 12-06,2,2,1,2,2,1,3,3,2,3,4,3,3,2,2,2,3,3,4,4,4,4,4,2,2,4,3,4,4
4/21/2023 19:31:38,Male,16,STEM 12-06,3,2,3,4,3,1,3,3,3,4,4,2,4,2,3,4,3,3,3,4,4,2,4,2,3,4,4,3,3
4/21/2023 19:32:39,Female,18,STEM 12-06,2,2,2,1,1,1,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4
4/21/2023 20:21:14,Male,18,STEM 12-06,3,2,3,3,2,2,3,3,4,4,4,4,4,3,2,4,3,3,4,4,2,4,4,3,4,3,3,3,4
4/21/2023 20:22:33,Male,18,STEM 12-06,2,2,2,2,2,1,3,3,3,3,3,4,4,4,4,4,4,4,4,4,2,4,4,4,4,3,3,4,4
4/21/2023 20:25:02,Male,16,STEM 12-06,3,3,3,2,2,3,4,4,4,4,3,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,2,3,4
,,17.36363636,,2.545454545,2.090909091,1.690909091,2.545454545,1.472727273,1.345454545,3.490909091,3.563636364,3.109090909,3.709090909,3.254545455,3.418181818,2.4,3.109090909,3,3.327272727,3.345454545,3.254545455,3.363636364,3.327272727,2.690909091,3.6,3.545454545,2.563636364,2.672727273,2.690909091,2.290909091,2.672727273,3.036363636
,,,,Rarely,Rarely,Never,Rarely,Never,Never,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree
,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4,22,9,5,22,4,5,57,64,38,66,48,59,14,39,38,52,49,39,47,47,18,66,58,22,27,22,16,20,34
,,,3,38,19,16,34,8,5,41,31,42,31,39,26,25,46,41,38,39,52,43,42,41,28,34,27,22,26,23,34,35
,,,2,29,42,23,24,24,10,0,5,16,3,12,14,49,12,15,8,10,7,8,10,31,6,8,31,37,35,34,30,20
,,,1,11,30,56,20,64,80,2,0,4,0,1,1,12,3,6,2,2,2,2,1,10,0,0,20,14,17,27,16,11
