Rank,Name,Platform,Year,Publisher,NA_Sales,EU_Sales
118,Zumba Fitness,Wii,2010,505 Games,3.5,2.64
119,Gears of War 2,X360,2008,Microsoft Game Studios,4.15,1.92
120,Uncharted 2: Among Thieves,PS3,2009,Sony Computer Entertainment,3.27,2.25
121,Call of Duty 4: Modern Warfare,PS3,2007,Activision,3.1,2.3
122,FIFA 12,PS3,2011,Electronic Arts,0.84,4.32
123,Big Brain Academy,DS,2005,Nintendo,1.67,2.78
124,Red Dead Redemption,PS3,2010,Take-Two Interactive,2.79,2.61
125,FIFA 15,PS4,2014,Electronic Arts,0.79,4.29
126,Donkey Kong Country Returns,Wii,2010,Nintendo,3.25,1.84
127,The Elder Scrolls V: Skyrim,PS3,2011,Bethesda Softworks,2.55,2.71
128,The Legend of Zelda,NES,1986,Nintendo,3.74,0.93
129,Assassin's Creed III,PS3,2012,Ubisoft,2.64,2.56
130,Halo: Combat Evolved,XB,2001,Microsoft Game Studios,4.98,1.3
131,Pokémon Emerald Version,GBA,2004,Nintendo,2.57,1.58
132,Kingdom Hearts,PS2,2002,Sony Computer Entertainment,3.64,1.2
133,Pokémon Crystal Version,GB,2000,Nintendo,2.55,1.56
134,Halo 3: ODST,X360,2009,Microsoft Game Studios,4.34,1.35
135,Red Dead Redemption,X360,2010,Take-Two Interactive,3.7,1.97
136,Super Mario Sunshine,GC,2002,Nintendo,4.01,1.26
137,Street Fighter II: The World Warrior,SNES,1992,Capcom,2.47,0.83
138,World of Warcraft,PC,2004,Activision,0.07,6.21
139,Driver,PS,1999,GT Interactive,3.11,2.8
140,Kinect Sports,X360,2010,Microsoft Game Studios,3.92,1.78
141,Gears of War 3,X360,2011,Microsoft Game Studios,4.05,1.62
142,Gears of War,X360,2006,Microsoft Game Studios,3.54,1.9
143,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Konami Digital Entertainment,2.45,2.01
144,Sonic the Hedgehog 2,GEN,1992,Sega,4.47,1.2
145,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Konami Digital Entertainment,2.63,1.74
146,Metal Gear Solid,PS,1998,Konami Digital Entertainment,3.18,1.83
147,The Last of Us,PS3,2013,Sony Computer Entertainment Europe,2.41,2.28
148,Final Fantasy XII,PS2,2006,Square Enix,1.88,0
149,LittleBigPlanet,PS3,2008,Sony Computer Entertainment,2.8,2.05
150,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Nintendo,0.66,0.69
151,LEGO Star Wars: The Complete Saga,Wii,2007,LucasArts,3.66,1.63
152,Resident Evil 2,PS,1998,Virgin Interactive,1.88,1.47
153,Tekken 2,PS,1996,Sony Computer Entertainment,2.26,1.89
154,Cooking Mama,DS,2006,505 Games,3.13,1.94
155,Destiny,PS4,2014,Activision,2.49,2.05
156,Tetris,NES,1988,Nintendo,2.97,0.69
157,Assassin's Creed II,PS3,2009,Ubisoft,2.54,1.95
158,Super Smash Bros.,N64,1999,Nintendo,2.95,0.6
159,Assassin's Creed,X360,2007,Ubisoft,3.28,1.65
160,Batman: Arkham City,PS3,2011,Warner Bros. Interactive Entertainment,2.7,1.91
161,Forza Motorsport 3,X360,2009,Microsoft Game Studios,2.99,1.92
162,Monster Hunter Freedom Unite,PSP,2008,Capcom,0.47,0.57
163,Super Mario Advance,GBA,2001,Nintendo,3.14,1.24
164,Mario Kart: Super Circuit,GBA,2001,Nintendo,2.62,1.64
165,Super Mario World,GBA,2001,Nintendo,3.21,1.11
166,Pokemon Stadium,N64,1999,Nintendo,3.18,1.24
167,Call of Duty: World at War,PS3,2008,Activision,2.72,1.87
168,Crash Bandicoot: The Wrath of Cortex,PS2,2001,Universal Interactive,2.07,2.29
169,Minecraft,PS3,2014,Sony Computer Entertainment,1.97,2.51
170,Final Fantasy XIII,PS3,2009,Square Enix,1.74,1.24
171,Dr. Mario,GB,1989,Nintendo,2.18,0.96
172,Pokemon Pinball,GB,1999,Nintendo,3.02,1.12
173,Assassin's Creed III,X360,2012,Ubisoft,3.13,1.71
174,Final Fantasy IX,PS,2000,SquareSoft,1.62,0.77
175,Final Fantasy X-2,PS2,2003,Electronic Arts,1.92,1.08
176,Donkey Kong 64,N64,1999,Nintendo,3.33,0.79
177,Assassin's Creed II,X360,2009,Ubisoft,3.1,1.56
178,Professor Layton and the Curious Village,DS,2007,Nintendo,1.22,2.48
179,Tomb Raider II,PS,1997,Eidos Interactive,2.3,2.46
180,Madden NFL 2004,PS2,N/A,Electronic Arts,4.26,0.26
181,Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Square Enix,0.65,0.75
182,Diablo III,PC,2012,Activision,2.43,2.15
183,Super Mario Bros. 3,GBA,2003,Nintendo,2.93,1.25
184,New Super Mario Bros. U,WiiU,2012,Nintendo,2.32,1.3
185,Super Mario Land 3: Wario Land,GB,1994,Nintendo,2.49,0.98
186,FIFA Soccer 13,X360,2012,Electronic Arts,1.08,3.48
187,The Legend of Zelda: Phantom Hourglass,DS,2007,Nintendo,1.9,1.83
188,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Nintendo,2.1,0.74
189,Tomodachi Life,3DS,2013,Nintendo,0.96,2.02
190,Mario & Sonic at the Olympic Games,DS,2008,Sega,1.64,2.48
191,Medal of Honor: Rising Sun,PS2,2003,Electronic Arts,1.98,2.23
192,Kirby's Dream Land,GB,1992,Nintendo,2.71,0.61
193,Fable III,X360,2010,Microsoft Game Studios,3.59,1.11
194,Call of Duty: Advanced Warfare,XOne,2014,Activision,3.21,1.53
195,Microsoft Flight Simulator,PC,1996,Microsoft Game Studios,3.22,1.69
196,Guitar Hero II,PS2,2006,RedOctane,3.81,0.63
197,Resident Evil 5,PS3,2009,Capcom,1.96,1.43
198,Grand Theft Auto V,XOne,2014,Take-Two Interactive,2.66,2.01
199,Grand Theft Auto: Vice City Stories,PSP,2006,Take-Two Interactive,1.7,2.02
200,FIFA Soccer 11,PS3,2010,Electronic Arts,0.6,3.29
201,Super Mario Bros.,GB,1999,Nintendo,3.4,1.3
202,Resident Evil,PS,1996,Virgin Interactive,2.05,1.16
203,Tony Hawk's Pro Skater,PS,1999,Activision,3.42,1.38
204,Super Smash Bros. for Wii U and 3DS,WiiU,2014,Nintendo,2.59,1.06
205,Warzone 2100,PS,1999,Eidos Interactive,2.79,1.89
206,Spyro the Dragon,PS,1998,Sony Computer Entertainment,3.36,1.36
207,Link's Crossbow Training,Wii,2007,Nintendo,3.06,1.18
208,Guitar Hero III: Legends of Rock,PS2,2007,Activision,3.49,0.01
209,Fallout 3,X360,2008,Bethesda Softworks,3.39,1.03
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Nintendo,1.85,1.2
211,Uncharted: Drake's Fortune,PS3,2007,Sony Computer Entertainment,2.31,1.73
212,Madden NFL 06,PS2,2005,Electronic Arts,3.98,0.26
213,LEGO Star Wars: The Complete Saga,DS,2007,LucasArts,2.89,1.54
214,Diddy Kong Racing,N64,1997,Nintendo,2.91,0.99
215,Monster Hunter Freedom 3,PSP,2010,Capcom,0,0
216,Dr. Mario,NES,1990,Nintendo,2.62,0.6
217,God of War III,PS3,2010,Sony Computer Entertainment,2.74,1.36
218,StarCraft II: Wings of Liberty,PC,2010,Activision,2.56,1.68
219,Assassin's Creed,PS3,2007,Ubisoft,1.91,2
220,FIFA 15,PS3,2014,Electronic Arts,0.57,3.14
221,Crash Team Racing,PS,1999,Sony Computer Entertainment,2.57,1.57
222,FIFA 17,PS4,2016,Electronic Arts,0.28,3.75
223,Batman: Arkham City,X360,2011,Warner Bros. Interactive Entertainment,2.99,1.31
224,Driver 2,PS,2000,Atari,2.36,2.1
225,The Simpsons: Hit & Run,PS2,2003,Vivendi Games,1.73,2.19
226,Tony Hawk's Pro Skater 2,PS,2000,Activision,3.05,1.41
227,Animal Crossing: City Folk,Wii,2008,Nintendo,1.87,1.12
228,The Lord of the Rings: The Two Towers,PS2,2002,Electronic Arts,1.94,1.95
229,Forza Motorsport 4,X360,2011,Microsoft Game Studios,2.08,2.04
230,Tomb Raider,PS,1996,Eidos Interactive,2.29,1.97
231,Guitar Hero III: Legends of Rock,Wii,2007,Activision,3.06,1.12
232,The Legend of Zelda: A Link to the Past,SNES,1991,Nintendo,2.42,0.91
233,The Legend of Zelda: The Wind Waker,GC,2002,Nintendo,2.6,0.99
234,Mario & Sonic at the Olympic Winter Games,Wii,2009,Sega,1.89,1.99
235,Luigi's Mansion: Dark Moon,3DS,2013,Nintendo,1.78,1.39
236,Splatoon,WiiU,2015,Nintendo,1.55,1.15
237,The Last of Us,PS4,2014,Sony Computer Entertainment,1.78,1.87
238,Guitar Hero III: Legends of Rock,X360,2007,Activision,3.19,0.92
239,Madden NFL 2005,PS2,2004,Electronic Arts,4.18,0.26
240,Pitfall!,2600,1981,Activision,4.21,0.24
241,Madden NFL 07,PS2,2006,Electronic Arts,3.63,0.24
242,Spider-Man: The Movie,PS2,2002,Activision,2.71,1.51
243,Dragon Quest VII: Warriors of Eden,PS,2000,Enix Corporation,0.2,0.14
244,Uncharted: The Nathan Drake Collection,PS4,2015,Sony Computer Entertainment,1.96,1.69
245,Call of Duty: Advanced Warfare,PS3,2014,Activision,1.54,1.94
246,God of War,PS2,2005,Sony Computer Entertainment,2.71,1.29
247,Nintendo Land,WiiU,2012,Nintendo,2.55,1.11
248,Michael Jackson: The Experience,Wii,2010,Ubisoft,2.67,1.35
249,Tony Hawk's Pro Skater 3,PS2,2001,Activision,2.66,1.29
250,Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Konami Digital Entertainment,0.1,2.39
251,The Elder Scrolls IV: Oblivion,X360,2006,Take-Two Interactive,2.82,1.05
252,Zelda II: The Adventure of Link,NES,1987,Nintendo,2.19,0.5
253,Need for Speed: Most Wanted,PS2,2005,Electronic Arts,2.03,1.79
254,Resistance: Fall of Man,PS3,2006,Sony Computer Entertainment,1.73,1.73
255,Sonic the Hedgehog,GEN,1991,Sega,3.03,0.91
256,Kingdom Hearts II,PS2,2005,Square Enix,2.2,0.58
257,FIFA 14,X360,2013,Electronic Arts,0.92,2.93
258,Call of Duty: Advanced Warfare,X360,2014,Activision,2.75,1.18
259,Asteroids,2600,1980,Atari,4,0.26
260,Fable II,X360,2008,Microsoft Game Studios,2.51,1.27
261,Halo 5: Guardians,XOne,2015,Microsoft Game Studios,2.64,1.2
262,Super Mario 3D World,WiiU,2013,Nintendo,2.11,1.11
263,Batman: Arkham Asylum,PS3,2009,Eidos Interactive,2.23,1.34
264,Assassin's Creed: Revelations,PS3,2011,Ubisoft,1.41,2.02
265,Namco Museum,GBA,2001,Namco Bandai Games,3,1.11
266,Metal Gear Solid 3: Snake Eater,PS2,2004,Konami Digital Entertainment,1.46,0
267,Daxter,PSP,2006,Sony Computer Entertainment,2.45,1.02
268,Warcraft II: Tides of Darkness,PC,1995,Activision,1.7,2.27
269,The Legend of Zelda: Ocarina of Time,3DS,2011,Nintendo,2.03,1.27
270,FIFA Soccer 06,PS2,2005,Electronic Arts,0.78,2.55
271,EyeToy Play,PS2,2003,Sony Computer Entertainment,0.88,2.3
272,Uncharted 4: A Thief's End,PS4,2016,Sony Computer Entertainment,1.3,2.07
273,Gran Turismo 5 Prologue,PS3,2007,Sony Computer Entertainment,1.28,1.83
274,Assassin's Creed: Revelations,X360,2011,Ubisoft,2.25,1.47
275,Street Fighter IV,PS3,2009,Capcom,2.02,1.06
276,FIFA 12,X360,2011,Electronic Arts,0.84,2.79
277,Teenage Mutant Ninja Turtles,NES,1989,Palcom,3.38,0.44
278,Excitebike,NES,1984,Nintendo,2.04,0.48
279,Frogger,PS,1997,Hasbro Interactive,3.79,0.27
280,Madden NFL 2003,PS2,2002,Electronic Arts,3.36,0.21
281,Watch Dogs,PS4,2014,Ubisoft,1.4,1.86
282,Half-Life,PC,1997,Vivendi Games,4.03,0
283,Super Mario World 2: Yoshi's Island,SNES,1995,Nintendo,1.65,0.61
284,FIFA Soccer 07,PS2,2006,Electronic Arts,0.71,2.48
285,The Legend of Zelda: Skyward Sword,Wii,2011,Nintendo,2.14,1.2
286,Street Fighter II Turbo,SNES,1992,Capcom,1.42,0.51
287,Carnival Games,Wii,2007,Take-Two Interactive,2.13,1.5
288,Fallout 4,XOne,2015,Bethesda Softworks,2.45,1.26
289,World of Warcraft: The Burning Crusade,PC,2007,Activision,2.57,1.52
290,Fallout: New Vegas,X360,2010,Bethesda Softworks,2.65,1.06
291,God of War II,PS2,2007,Sony Computer Entertainment,2.32,0.04
292,Forza Motorsport 2,X360,2007,Microsoft Game Studios,2.35,1.28
293,World Soccer Winning Eleven 9,PS2,2005,Konami Digital Entertainment,0.12,2.26
294,Namco Museum Vol.3,PS,1996,Sony Computer Entertainment,2.28,1.55
295,Tekken Tag Tournament,PS2,2000,Namco Bandai Games,1.68,1.51
296,Far Cry 4,PS4,2014,Ubisoft,1.12,2.12
297,Star Fox 64,N64,1997,Nintendo,2.78,0.58
298,Minecraft,PS4,2014,Sony Computer Entertainment Europe,1.38,1.87
299,Golf,NES,1984,Nintendo,1.22,0.28
300,Fallout 3,PS3,2008,Bethesda Softworks,2.15,1.2
301,Professor Layton and the Diabolical Box,DS,2007,Nintendo,0.92,1.78
302,Left 4 Dead 2,X360,2009,Electronic Arts,2.67,0.89
303,Namco Museum: 50th Anniversary,PS2,2005,Namco Bandai Games,2.08,1.35
304,EA Sports Active,Wii,2009,Electronic Arts,2.1,1.36
305,Assassin's Creed: Unity,PS4,2014,Ubisoft,1.18,1.96
306,Donkey Kong Land,GB,1994,Nintendo,1.97,0.76
307,Tony Hawk's Underground,PS2,2003,Activision,2.29,1.17
308,Assassin's Creed IV: Black Flag,PS3,2013,Ubisoft,1.33,1.71
309,Monster Hunter 4 Ultimate,3DS,2014,Nintendo,0.67,0.49
310,MotorStorm,PS3,2006,Sony Computer Entertainment,1.53,1.61
311,The Elder Scrolls V: Skyrim,PC,2011,Bethesda Softworks,1.15,2.09
312,Tekken 5,PS2,2005,Namco Bandai Games,0.93,1.94
313,Dragon Warrior III,NES,1988,Enix Corporation,0.1,0
314,Sports Champions,PS3,2010,Sony Computer Entertainment,2.12,1.14
315,NBA 2K16,PS4,2015,Take-Two Interactive,2.48,0.65
316,World Soccer Winning Eleven 8 International,PS2,2004,Konami Digital Entertainment,0.16,1.89
317,Flash Focus: Vision Training in Minutes a Day,DS,2007,Nintendo,0.87,1.57
318,Namco Museum Vol.1,PS,1995,Sony Computer Entertainment,2.12,1.44
319,The Legend of Zelda: Link's Awakening,GB,1992,Nintendo,2.21,0.96
320,Mario & Luigi: Bowser's Inside Story,DS,2009,Nintendo,2.26,0.48
321,Big Brain Academy: Wii Degree,Wii,2007,Nintendo,1.06,1.93
322,Nintendogs + cats,3DS,2011,Nintendo,1.44,1.37
323,Batman: Arkham Knight,PS4,2015,Warner Bros. Interactive Entertainment,1.49,1.58
324,Mario & Sonic at the London 2012 Olympic Games,Wii,2011,Sega,1.14,1.91
325,LEGO Indiana Jones: The Original Adventures,X360,2008,Activision,2.4,1.03
326,Resident Evil Director's Cut,PS,1996,Virgin Interactive,1.82,1.24
327,Ratchet & Clank: Size Matters,PSP,2007,Sony Computer Entertainment,1.4,1.4
328,Just Dance 2014,Wii,2013,Ubisoft,1.98,1.47
329,The Sims: Unleashed,PC,2002,Electronic Arts,2.03,1.56
330,Super Paper Mario,Wii,2007,Nintendo,1.98,0.88
331,Harry Potter and the Sorcerer's Stone,PS,2001,Electronic Arts,1.37,2
332,The Witcher 3: Wild Hunt,PS4,2015,Namco Bandai Games,0.96,2
333,Resident Evil 3: Nemesis,PS,1999,Eidos Interactive,1.3,0.77
334,Spyro: Year of the Dragon,PS,2000,Sony Computer Entertainment,1.93,1.58
335,FIFA Soccer 2005,PS2,2004,Electronic Arts,0.58,2.48
336,Pokémon Trading Card Game,GB,1998,Nintendo,1.49,0.73
337,Battlefield 4,PS3,2013,Electronic Arts,1.3,1.51
338,MySims,DS,2007,Electronic Arts,1.59,1.61
339,Friend Collection,DS,2009,Nintendo,0,0
340,Tony Hawk's Pro Skater 4,PS2,2002,Activision,2.13,1.18
341,Midnight Club 3: DUB Edition,PSP,2005,Take-Two Interactive,1.65,1.22
342,Banjo-Kazooie,N64,1998,Nintendo,1.87,1.13
343,SOCOM: U.S. Navy SEALs,PS2,2002,Sony Computer Entertainment,2.53,0.81
344,Guitar Hero: World Tour,Wii,2008,Activision,2.33,0.97
345,Gran Turismo 6,PS3,2013,Sony Computer Entertainment,0.71,1.8
346,Jak and Daxter: The Precursor Legacy,PS2,2001,Sony Computer Entertainment,2.08,1.09
347,Pokemon Snap,N64,1999,Nintendo,2.23,0.68
348,FIFA Soccer 10,PS3,2009,Electronic Arts,0.6,2.46
349,Pro Evolution Soccer 2008,PS2,2007,Konami Digital Entertainment,0.05,0
350,Call of Duty: Ghosts,PS4,2013,Activision,1.78,1.42
351,Resident Evil 4,PS2,2005,Capcom,2.08,0.83
352,Tom Clancy's The Division,PS4,2016,Ubisoft,1.28,1.61
353,Star Wars: Battlefront,PS2,2004,LucasArts,1.93,1.22
354,Doom II: Hell on Earth,PC,1994,Virgin Interactive,2.05,1.4
355,The Simpsons: Road Rage,PS2,2001,Electronic Arts,2.02,1.17
356,Cooking Mama 2: Dinner With Friends,DS,2007,505 Games,1.61,1.5
357,Luigi's Mansion,GC,2001,Nintendo,2.38,0.67
358,Star Wars: Battlefront II,PS2,2005,LucasArts,2.18,1.02
359,WWF SmackDown!,PS,2000,THQ,2.01,1.35
360,Croc: Legend of the Gobbos,PS,1997,Fox Interactive,1.57,1.79
361,Grand Theft Auto: Liberty City Stories,PS2,2006,Take-Two Interactive,1.56,1.4
362,The Getaway,PS2,2002,Sony Computer Entertainment,1.23,1.77
363,Tomb Raider III: Adventures of Lara Croft,PS,1997,Eidos Interactive,1.66,1.58
364,James Bond 007: Agent Under Fire,PS2,2001,Electronic Arts,1.9,1.13
365,LEGO Star Wars: The Video Game,PS2,2005,Eidos Interactive,1.98,1.14
366,Battlefield 4,X360,2013,Electronic Arts,2.14,1.08
367,FIFA Soccer 11,X360,2010,Electronic Arts,0.71,2.4
368,Rugrats in Paris: The Movie,PS,2000,THQ,1.96,1.33
369,Spyro 2: Ripto's Rage!,PS,1999,Sony Computer Entertainment,2.14,1.21
370,Left 4 Dead,X360,2008,Electronic Arts,2.66,0.5
371,Mario & Sonic at the Olympic Winter Games,DS,2009,Sega,1.22,1.66
372,Resident Evil 5,X360,2009,Capcom,2.11,0.94
373,Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,1996,Nintendo,1.17,0.5
374,Assassin's Creed: Brotherhood,X360,2010,Ubisoft,2.84,0.39
375,Kung Fu,NES,1985,Nintendo,1.64,0.38
376,Batman: Arkham Asylum,X360,2009,Eidos Interactive,2.2,0.97
377,Clubhouse Games,DS,2006,Nintendo,0.59,1.83
378,FIFA Soccer 2004,PS2,N/A,Electronic Arts,0.59,2.36
379,Star Wars Battlefront (2015),XOne,2015,Electronic Arts,1.94,1.22
380,Battlefield: Bad Company 2,X360,2010,Electronic Arts,2.09,1.02
381,Guitar Hero: On Tour,DS,2008,Activision,2.11,1.01
382,Assassin's Creed: Unity,XOne,2014,Ubisoft,2.26,0.89
383,Far Cry 3,PS3,2012,Ubisoft,0.88,1.75
384,Monster Hunter 4,3DS,2013,Capcom,0,0
